resort_id,sector,type,opening,snowmaking,grooming,notes,name,subtype,gladed_trail,with_snowmaking,global_status
,Sugarloaf Outdoor Center,trail,open,,true,,50 Cents,more_difficult,false,false,grooming
,Snowfields™ Summit,trail,closed,false,false,,Adrenaline Rush,extremely_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Androscoggin Glade,extremely_difficult,false,false,closed
,Snowfields™ Summit,trail,closed,false,false,,Awesome,extremely_difficult,false,false,closed
,West Mountain,trail,closed,false,false,,Back Cut,easier,false,false,closed
,Snowfields™ Summit,trail,closed,false,false,,Ball and Chain,extremely_difficult,false,false,closed
,Timberline,trail,closed,false,false,,Barberchair Glade,most_difficult,false,false,closed
,Timberline,trail,closed,false,false,,Binder Ext,most_difficult,false,false,closed
,West Mountain,trail,closed,false,false,,Birch Hook,easier,false,false,closed
,Brackett Basin,trail,closed,,,,Birler Glade One,extremely_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Birler Glade Two,extremely_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Blacksmith Glade,more_difficult,false,false,closed
,Skyline,trail,closed,false,false,,Blade Glade,most_difficult,false,false,closed
,Whiffletree,trail,closed,false,false,,Blueberry's Grove Glade,more_difficult,false,false,closed
,Double Runner,trail,open,false,true,,Boardwalk,easier,false,false,grooming
,Sugarloaf Outdoor Center,trail,open,,true,,Bobcat Alley,more_difficult,false,false,grooming
,Sugarloaf Outdoor Center,trail,open,,true,,Bobcat Cutoff,more_difficult,false,false,grooming
,West Mountain,trail,closed,false,false,,Boom Scooter,more_difficult,false,false,closed
,King Pine,trail,closed,false,false,,Boomers Glade,most_difficult,false,false,closed
,SuperQuad,trail,closed,false,false,,Branding Ax Glade,extremely_difficult,false,false,closed
,SuperQuad,trail,open,false,true,,Bridle Chain,more_difficult,false,false,grooming
,Whiffletree,trail,closed,false,false,,Broccoli Garden Glade,most_difficult,false,false,closed
,Snowfields™ Summit,trail,closed,false,false,,Bubblecuffer Ext,extremely_difficult,false,false,closed
,West Mountain,trail,open,false,true,,Bucksaw X-Cut,easier,false,false,grooming
,Timberline,trail,open,false,false,,Buckskin,more_difficult,false,false,open
,Brackett Basin,trail,closed,,,,Can't Dog One,extremely_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Can't Dog Two,extremely_difficult,false,false,closed
,SuperQuad,trail,open,false,true,,Candy Side,more_difficult,false,false,grooming
,Skyline,trail,closed,false,false,,Cant Hook Glade,most_difficult,false,false,closed
,King Pine,trail,open,false,false,,Choker,most_difficult,false,false,open
,Timberline,trail,closed,false,false,,Cinderhoe,more_difficult,false,false,closed
,Whiffletree,trail,open,false,false,,Condo X-Cut,easier,false,false,open
,Skyline,trail,open,false,false,,Cribworks,extremely_difficult,false,false,open
,Whiffletree,trail,open,false,false,,Cross Haul,easier,false,false,open
,SuperQuad,trail,open,false,false,,Double Bitter,most_difficult,false,false,open
,Timberline,trail,closed,false,false,,Dropline Glade,most_difficult,false,false,closed
,Sugarloaf Outdoor Center,trail,open,,true,,East Branch,more_difficult,false,false,grooming
,Brackett Basin,trail,closed,,,,Eastern Territory,extremely_difficult,false,false,closed
,Brackett Basin,trail,closed,,,,Edger Glade One,extremely_difficult,false,false,closed
